userapproleid,workappid,workappname,workappcategoryid,userid,typeofworkname,userroleid,permissionlevelid,permissionlevelisprivileged
52962f6d-c7a1-478d-9b6f-803b678f5e2c,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,4f1a887b-d0f1-4238-90a2-baf72952b6b0,Other,1,8deff3c0-2e1a-4f56-a4fc-ed59ed115202,False
c966ffa1-0ffc-4dc3-90b3-256c01afc41a,8b034d9e-e4c5-408b-bdec-09f647fdc94d,Calendly,9,ca808231-fab0-4f64-9bbb-52caddc97396,Other,1,,
c96d0842-dc75-4720-8b15-f9a551b66c6e,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,96e8b3e5-85ee-49a3-86e2-027b4c1c9c65,ProductManagement,1,,
c9948536-1e77-4bd9-a8d8-0ef7c2f2737c,0a42117d-03f3-413c-9a0c-c7265e64605e,Bird Eats Bug,2,5e07d690-586a-49ce-9c1d-d37ebecf726e,Design,1,,
a980f66b-5396-4ba9-a412-181da8874d09,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,4fb8d8bd-3e4e-4f9c-8524-0ab83e487505,Other,1,591dade6-b771-43aa-9b5a-4aa7e20335ac,False
c9eb819f-4993-4784-bcf0-e32c6b41b19d,935b2a47-fa53-4eb4-9d42-51b1c8341c46,LinkedIn,10,66c11ed6-8e5c-4029-bbfa-b0f02b724ef9,Other,1,,
ca2ac3cb-fe77-40cc-a304-df0b26158fcb,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,9b703dc8-34a6-44b0-8cf2-eb8508178713,Other,1,,
ac8351a0-7702-4f07-813a-a645238d6900,90db3077-d9f7-4903-9d62-8cea1d237820,Segment,7,c55db8ab-0c22-4b66-a198-c021d7894131,Other,1,00080200-e17d-4208-aa68-0b1acae589ef,False
ca5c932a-d2be-4711-a19f-ba2ef4ae4bf7,0e979d28-0889-4ac1-b10e-5735721a4de3,Reforge,19,6224a41c-fcb8-4c8d-bde6-faddbb5682cb,Design,1,,
ca5dacbb-d231-4cb6-94bd-0a0e3b81f52c,9682214e-f7da-4957-bf04-19cecc8bbf18,Miro,9,1afbabf7-1de0-455f-b92e-9b8a0f6febc9,Other,1,,
ca939c3e-8785-43cc-ba9d-9f5c4d6cb8a4,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
caeb2a2f-b614-4a43-8f44-a406009bfa6a,0e979d28-0889-4ac1-b10e-5735721a4de3,Reforge,19,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
caf6c541-4b38-44e0-b79d-35112d8401ab,9682214e-f7da-4957-bf04-19cecc8bbf18,Miro,9,c55db8ab-0c22-4b66-a198-c021d7894131,Other,1,,
e4c5ebc4-8091-4578-be0a-3802be401150,0dfce50e-fde9-4ad8-b461-90d777b03b20,Confluence,9,bc4c9b87-af39-4ecc-a9aa-8a8402d5a29d,Other,1,c9a4f7f5-3fa7-47cc-9b2e-c4c3433b7a5d,False
cca4658d-8338-483c-aa72-4d8e389ecf89,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,d0d23ea2-3b44-4e8b-86f5-9926532c0e56,SoftwareDevelopment,1,,
ce0fd5b1-4ee5-43c7-a943-4232333955be,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,231b75d3-0305-40e5-ac91-ca70796a90c2,Design,2,,
ceffbb1b-7ca1-4a2a-b104-3232c2912c61,75d85b4a-d0c0-429e-8588-3576613736da,DemoDesk,4,106c9ca5-2577-4296-9c20-627794a00c37,Other,1,,
cf83511d-e111-4b69-a546-58a1ef219508,a30938b2-564e-4eb9-a2e4-496c80eff28e,Modjo,4,ac05cd76-0d2e-40ad-a68f-536f6d42be5d,Other,1,,
d0561454-5934-4fcc-a6b3-9c6c214f41be,75818da6-7ada-45ba-80b5-3dc32f91051b,Jasper,13,a971c58a-89cb-4ef5-a7ed-e90168344abb,Administration,2,,
d05f5722-a357-4dac-bab0-b387c361df4d,cc670a8d-9a33-42ee-9b69-7cc1cd17190d,Zapier,8,9b703dc8-34a6-44b0-8cf2-eb8508178713,Other,1,,
d0958840-bfa3-4d53-b7ad-7d9e519f817d,eddc5398-2644-4a4c-9ec5-3766fa73267e,Qwilr,4,63b9d6a5-4ba0-4beb-b37c-e3b3e9a7f85e,Other,1,,
d0e15cc2-2add-4da9-ab11-a07c55eae5d9,8b034d9e-e4c5-408b-bdec-09f647fdc94d,Calendly,9,4fc5737a-8624-4549-b594-412196860fb7,HumanResources,1,,
c4a33016-1bad-4f75-9070-3c0610a76e9e,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,106c9ca5-2577-4296-9c20-627794a00c37,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
c5dcdb18-6ada-4e07-8b86-65ae739cfcdd,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,48789c28-24f1-4af7-9b43-3bab14219b53,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
c778db1b-0704-4770-9d26-8e57d7c5fc11,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,66c11ed6-8e5c-4029-bbfa-b0f02b724ef9,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
c949e49d-ddc1-4fcb-8f41-5ef14f1744a5,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,c55db8ab-0c22-4b66-a198-c021d7894131,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
ca3ae4bf-4cb2-42e9-b674-4e596909f824,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,a971c58a-89cb-4ef5-a7ed-e90168344abb,Administration,2,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
cb195f51-1356-46b8-bb6a-44842f5b9aa1,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,263dc271-8906-48e4-bd6b-2347ff78cf74,Sales,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
ce789eb4-53fe-4105-b266-535dd952f037,fdde40e9-607e-4ca7-8dd2-b8400ab512ad,DemoCompany,11,3798b13e-695e-4fa2-87e0-a4ea97cc67ce,Other,1,50b8702a-de7c-4b41-a2a8-fe9dcf928c91,False
d0e8cb3d-bd84-4401-a949-5b8bc84869ae,75d85b4a-d0c0-429e-8588-3576613736da,DemoDesk,4,66c11ed6-8e5c-4029-bbfa-b0f02b724ef9,Other,1,,
d0e9cbc4-159e-4908-a9d3-8a73f456b56d,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,ca808231-fab0-4f64-9bbb-52caddc97396,Other,1,,
d1160a05-d6c7-456c-99f9-689474099920,eddc5398-2644-4a4c-9ec5-3766fa73267e,Qwilr,4,5b6bcf30-7b81-4cc8-afce-584cc8512e95,Other,1,,
a2c71511-fc65-443f-8f4e-e27359e13e9f,1cba6a3d-01ba-4904-8c24-27e0e7cfe5c4,OpsGenie,2,25d26a43-a2be-4cae-8749-2026342a23e4,Other,1,3745c3a7-c0b5-42b5-8623-e677eb9129da,False
